crop_name,season,region,year,area_hectares,rainfall_mm,temperature_celsius,fertilizer_amount_kg,actual_yield_kg
wheat,meher,Afar,2022,19.95,689.1,20.5,77.7,44214.3
teff,meher,SNNPR,2018,13.88,1257.5,21.9,188.1,28203.6
wheat,meher,SNNPR,2016,9.68,1411.4,28.1,111.8,29705.5
wheat,belg,Afar,2016,4.83,635.0,31.8,84.1,12848.9
barley,belg,Oromia,2022,1.55,1251.6,24.5,124.1,3229.5
chickpea,meher,Sidama,2016,17.42,872.5,17.5,10.8,19913.5
sorghum,belg,Tigray,2024,17.91,1780.0,13.6,172.5,45991.3
wheat,meher,Tigray,2020,12.81,565.2,25.9,0.9,27670.8
wheat,meher,Tigray,2016,3.02,950.6,20.7,85.8,9838.7
chickpea,belg,Oromia,2015,10.91,1396.0,33.8,178.4,17632.0
teff,meher,Afar,2018,4.91,1615.5,17.8,20.5,7550.7
barley,meher,Oromia,2015,6.31,736.2,28.2,119.3,10623.1
wheat,belg,Tigray,2020,15.13,547.3,32.7,162.4,48201.9
teff,meher,Amhara,2017,4.62,332.9,22.6,24.6,5863.6
sesame,belg,Sidama,2024,1.45,1792.0,26.5,130.7,1704.4
teff,meher,Afar,2016,8.63,870.4,23.7,94.9,16726.8
teff,belg,Tigray,2016,13.42,705.0,25.1,27.4,23733.9
maize,meher,SNNPR,2016,15.8,1046.6,25.2,155.6,67500.1
coffee,belg,SNNPR,2017,1.27,1044.5,15.2,186.6,1328.2
coffee,meher,Oromia,2015,13.6,1660.3,30.9,133.8,20126.0
maize,meher,SNNPR,2018,9.41,1765.9,16.6,10.0,34802.3
wheat,meher,SNNPR,2020,16.13,769.1,28.5,19.0,37797.8
wheat,meher,SNNPR,2020,17.94,1732.6,16.7,146.6,52920.2
coffee,belg,Amhara,2016,8.32,1743.5,16.8,77.1,12773.9
wheat,meher,Amhara,2015,19.64,1566.5,12.6,182.2,49105.0
chickpea,belg,Amhara,2024,7.91,837.9,10.7,136.9,12043.9
wheat,belg,Tigray,2016,17.81,961.0,11.6,131.0,32277.5
teff,meher,Afar,2020,10.62,1332.4,25.5,86.6,19532.7
sesame,meher,Sidama,2024,1.56,1265.1,13.9,169.8,1669.1
chickpea,meher,Oromia,2022,6.75,796.3,17.0,101.4,7587.6
sorghum,meher,Tigray,2022,16.12,972.1,31.4,89.4,33207.8
maize,belg,Afar,2015,2.5,918.5,23.9,0.0,9421.8
barley,meher,Afar,2022,19.03,845.0,11.4,44.6,37474.2
chickpea,belg,Sidama,2024,12.2,1375.0,19.1,90.5,20871.8
teff,belg,SNNPR,2019,11.18,860.8,12.7,179.4,22616.8
chickpea,meher,Afar,2021,2.59,1216.3,14.7,186.0,3831.7
sorghum,belg,Oromia,2021,1.41,1249.9,26.8,24.6,3350.3
chickpea,belg,Afar,2024,19.15,502.0,22.5,106.1,30770.8
chickpea,meher,Afar,2024,3.89,1522.9,12.6,131.5,6585.5
coffee,belg,Tigray,2024,18.36,1443.6,16.8,192.7,31338.8
wheat,meher,Tigray,2024,14.15,1422.6,17.5,140.3,40460.6
coffee,meher,Amhara,2018,12.67,735.9,18.6,134.5,17154.0
wheat,belg,Afar,2016,15.34,1143.4,24.6,188.5,44617.4
sesame,belg,Tigray,2015,10.69,337.9,13.6,134.1,8322.7
wheat,belg,Afar,2019,3.36,393.0,29.6,40.8,9392.3
teff,belg,Tigray,2016,12.51,1313.3,24.0,44.9,20679.9
barley,meher,Tigray,2021,8.62,1482.2,27.1,193.2,19528.5
teff,meher,Afar,2019,4.46,1603.3,31.5,88.6,8693.1
coffee,meher,Afar,2018,6.24,566.1,27.1,37.4,6318.2
wheat,meher,Tigray,2015,8.86,1134.9,13.3,116.8,23791.7
wheat,meher,Amhara,2020,12.14,1460.5,25.6,168.6,40718.3
barley,belg,Sidama,2023,7.48,1476.0,17.9,44.0,16155.7
wheat,belg,Sidama,2023,8.37,824.1,32.1,132.7,22713.4
coffee,belg,SNNPR,2018,19.03,1227.4,21.9,112.3,25744.4
maize,belg,Tigray,2018,18.14,1220.6,25.5,191.8,56241.9
coffee,belg,Oromia,2021,5.5,1386.0,10.6,103.4,6835.0
chickpea,belg,Oromia,2019,18.02,588.8,22.8,189.6,23081.1
wheat,meher,Afar,2016,4.61,1244.3,15.3,137.1,13577.3
sesame,meher,Afar,2017,0.96,1375.3,10.9,14.6,709.4
wheat,belg,Sidama,2016,11.71,641.5,16.5,77.6,25597.5
teff,belg,Afar,2016,10.93,1262.1,25.5,151.2,20060.8
teff,meher,SNNPR,2023,2.57,1480.3,17.5,17.3,4551.5
sesame,meher,Tigray,2017,10.9,504.6,19.8,159.5,9106.3
barley,meher,SNNPR,2020,19.17,316.7,31.9,28.3,35828.2
sesame,meher,SNNPR,2018,15.09,1655.3,18.6,82.5,18604.4
wheat,meher,Amhara,2018,12.53,679.1,12.9,134.2,30583.8
chickpea,meher,SNNPR,2016,5.39,596.1,24.5,190.3,7729.5
coffee,meher,Afar,2018,2.45,1229.3,32.5,63.6,2193.4
barley,meher,Sidama,2024,7.61,774.5,20.7,1.0,14358.9
sorghum,meher,Afar,2021,5.9,839.2,27.0,66.3,10521.4
barley,belg,Sidama,2016,3.93,1209.9,31.0,171.7,9019.5
wheat,meher,SNNPR,2016,14.68,1638.2,31.2,126.3,45428.9
sorghum,meher,Sidama,2019,11.1,1798.1,21.8,155.0,26854.8
coffee,belg,Amhara,2024,14.8,736.5,21.6,102.1,14752.2
sorghum,meher,Sidama,2017,9.2,568.7,33.7,131.9,20936.9
wheat,belg,SNNPR,2015,4.77,1031.5,11.6,73.9,13153.6
coffee,belg,Tigray,2022,17.69,359.9,26.2,20.6,13035.4
barley,belg,Sidama,2023,11.62,865.0,19.5,117.5,25209.2
barley,belg,Amhara,2023,8.41,1525.9,18.6,158.5,19938.0
teff,meher,Tigray,2017,4.98,1071.8,17.0,30.0,8847.6
maize,meher,Tigray,2020,14.54,1022.3,22.0,42.1,57265.0
wheat,belg,Oromia,2018,1.34,1160.2,14.0,125.9,4279.8
teff,meher,SNNPR,2017,10.57,908.2,34.2,127.5,18502.9
barley,meher,Amhara,2022,12.33,1007.1,22.0,43.9,23004.0
wheat,belg,Amhara,2020,18.49,1194.8,11.7,75.6,49898.1
wheat,meher,Oromia,2018,10.69,1664.0,27.1,165.3,31054.5
teff,meher,Oromia,2022,13.36,1653.0,23.5,0.2,23148.3
sesame,belg,SNNPR,2015,14.1,943.4,33.5,96.4,11805.6
maize,belg,Amhara,2019,9.8,648.8,31.5,56.7,26419.7
sesame,belg,Amhara,2015,14.33,1484.1,24.4,23.6,16473.4
coffee,belg,SNNPR,2016,3.52,1277.4,16.3,171.0,5075.3
sesame,belg,Sidama,2019,19.84,896.2,15.1,110.4,16851.2
chickpea,belg,SNNPR,2024,7.21,1358.2,28.4,171.0,11666.8
maize,meher,Tigray,2017,2.46,1062.5,29.7,160.2,7478.7
teff,meher,Tigray,2015,16.19,1534.9,21.8,120.0,30218.7
maize,meher,SNNPR,2018,7.73,1213.5,28.1,186.1,24504.4
barley,meher,Amhara,2022,9.06,602.6,26.4,160.8,20726.1
barley,meher,Oromia,2024,10.46,1347.7,25.4,134.8,21489.9
wheat,meher,SNNPR,2021,7.39,892.7,24.7,103.5,22617.6
maize,meher,Sidama,2019,14.66,1138.7,24.6,69.5,52890.4
sorghum,belg,Tigray,2024,0.59,562.6,22.7,111.7,1166.3
barley,belg,Oromia,2023,19.16,1614.2,30.3,115.0,39228.7
chickpea,meher,SNNPR,2022,13.79,1644.8,31.6,96.4,15608.1
barley,meher,Tigray,2018,13.7,644.9,17.9,191.1,28998.4
barley,meher,SNNPR,2016,8.28,1423.2,18.5,110.9,18796.6
wheat,belg,SNNPR,2020,4.76,1160.6,14.6,149.2,14365.5
sorghum,meher,Afar,2018,17.52,610.2,15.1,49.9,32633.6
coffee,meher,Oromia,2016,18.44,1313.7,26.6,122.8,25051.6
teff,belg,SNNPR,2024,6.65,1647.2,32.0,114.9,11280.2
barley,belg,Amhara,2023,5.97,633.1,24.4,10.8,10853.9
teff,belg,Tigray,2017,9.42,480.6,23.0,63.1,11968.2
teff,meher,Afar,2018,7.9,451.1,19.0,172.4,14330.9
barley,belg,Sidama,2020,7.64,1048.2,15.3,140.1,17905.6
coffee,belg,Tigray,2019,9.29,1157.1,34.5,137.2,11918.9
sorghum,belg,Tigray,2018,3.34,1738.7,13.7,161.1,7391.3
wheat,belg,Tigray,2017,19.91,1574.1,22.9,144.1,62185.8
teff,belg,Oromia,2017,1.67,1520.7,21.9,126.0,3200.4
chickpea,belg,SNNPR,2020,7.53,1136.2,30.3,68.8,8670.9
sorghum,meher,SNNPR,2020,6.84,1065.7,29.4,89.4,16181.1
maize,belg,Sidama,2019,9.54,1734.9,31.7,128.1,40081.3
sesame,meher,Oromia,2017,7.2,770.2,26.3,142.1,6704.2
sesame,belg,Tigray,2020,15.08,1081.4,21.3,33.5,13856.4
sorghum,belg,Afar,2016,4.61,895.6,12.4,187.4,10325.2
chickpea,meher,Oromia,2021,10.72,1794.0,12.6,123.6,21390.5
sesame,belg,Amhara,2018,14.88,964.7,13.2,105.3,15177.9
wheat,meher,Oromia,2020,17.28,787.8,21.9,195.0,44984.9
chickpea,meher,Afar,2023,3.95,1196.4,25.8,127.2,5871.1
sesame,belg,SNNPR,2022,11.02,1507.1,21.0,73.2,12621.6
teff,meher,SNNPR,2019,9.65,312.5,33.1,189.4,17399.2
chickpea,belg,Oromia,2021,16.06,1195.5,29.9,109.6,24767.1
sesame,belg,Amhara,2017,14.44,1269.0,30.7,44.1,15429.5
maize,belg,Afar,2018,10.57,1499.9,25.3,138.8,38923.0
barley,belg,Amhara,2016,4.06,734.4,25.9,123.5,9787.6
barley,belg,Amhara,2020,0.88,374.4,23.4,37.2,1648.2
chickpea,meher,Amhara,2016,3.44,1040.4,18.5,62.3,4739.4
chickpea,belg,Tigray,2015,6.94,1565.3,33.8,11.2,8795.1
chickpea,meher,Amhara,2019,16.44,1542.4,13.0,153.6,26029.1
sorghum,belg,Tigray,2018,14.88,350.3,21.5,154.2,20155.9
chickpea,belg,Afar,2019,18.76,537.9,28.2,148.9,22745.0
maize,belg,Tigray,2019,4.38,1631.3,31.6,43.6,17577.2
coffee,meher,Amhara,2019,11.9,893.7,16.1,193.8,17350.1
chickpea,meher,SNNPR,2016,5.35,1049.9,27.1,67.7,8379.4
teff,meher,SNNPR,2017,14.18,1487.2,13.1,46.5,23902.2
coffee,belg,Afar,2018,0.92,866.7,28.1,50.1,1072.1
barley,belg,Amhara,2024,4.14,821.5,28.3,55.1,8096.6
wheat,meher,Sidama,2017,9.26,1529.1,23.5,90.8,27460.1
wheat,meher,Sidama,2020,15.63,658.2,28.0,131.7,33771.3
sesame,meher,Sidama,2022,15.43,531.2,17.1,82.0,10852.3
maize,meher,Amhara,2017,17.53,603.1,22.1,19.8,58961.4
sesame,belg,Sidama,2024,14.18,683.9,19.2,121.2,16069.0
sorghum,belg,Oromia,2022,16.12,391.1,24.0,187.6,41486.8
sesame,belg,Afar,2015,16.56,698.7,11.0,14.1,7382.6
maize,meher,Afar,2018,10.87,584.2,23.2,49.8,46841.3
wheat,belg,Afar,2016,15.44,1164.8,26.9,140.5,41260.0
wheat,belg,Sidama,2020,13.32,1100.9,25.0,186.7,40183.5
coffee,belg,SNNPR,2021,15.4,945.9,28.1,121.7,16704.7
barley,belg,Tigray,2022,19.22,300.3,10.9,56.9,28896.9
teff,meher,SNNPR,2015,6.36,632.8,31.4,4.3,9242.5
barley,meher,Oromia,2015,9.48,534.2,16.6,177.9,15981.8
sorghum,meher,SNNPR,2019,2.29,899.7,32.9,146.9,4936.5
wheat,belg,Afar,2024,16.48,443.0,26.1,7.5,26110.6
sesame,meher,Oromia,2020,7.28,1525.7,20.4,173.6,10568.7
teff,belg,Oromia,2019,10.73,779.0,24.1,65.4,16157.6
sorghum,meher,Oromia,2021,19.44,1429.3,24.4,18.0,34624.5
wheat,meher,SNNPR,2016,9.78,1418.0,23.7,52.5,29489.5
sesame,belg,Afar,2017,15.36,1021.4,15.0,79.1,11671.4
sorghum,meher,Oromia,2019,15.65,785.1,33.1,17.9,26690.2
sesame,belg,SNNPR,2020,4.21,816.8,26.4,153.9,4516.5
chickpea,meher,Tigray,2015,18.52,650.2,27.1,31.2,21768.0
maize,meher,Afar,2015,5.24,1231.5,13.7,166.5,18660.1
maize,belg,Tigray,2022,0.94,613.5,23.5,40.8,3414.8
barley,belg,Sidama,2017,14.05,1302.4,19.4,181.2,31057.6
teff,belg,Amhara,2024,5.79,997.4,33.6,13.3,8159.5
barley,belg,Oromia,2015,6.2,1625.1,19.7,196.0,13401.3
coffee,belg,Sidama,2023,2.22,598.3,34.2,112.1,2009.5
teff,meher,Amhara,2023,6.45,1034.9,28.6,3.7,9156.6
barley,meher,Sidama,2019,16.33,1238.7,32.0,178.1,33296.2
teff,belg,Amhara,2017,7.16,889.3,13.4,146.0,10280.8
sorghum,belg,Amhara,2024,3.48,1755.8,32.7,65.9,8101.2
wheat,meher,Afar,2017,11.83,1326.1,15.1,27.6,27040.9
wheat,belg,Amhara,2024,18.38,776.2,23.9,189.7,39014.9
maize,meher,SNNPR,2017,14.68,1448.2,32.0,82.8,45150.6
barley,meher,Amhara,2016,3.07,339.3,34.6,123.4,5801.7
sorghum,meher,Amhara,2015,7.51,1332.2,21.9,100.5,15681.4
coffee,meher,Tigray,2022,9.74,545.7,15.7,81.7,7575.5
teff,belg,Tigray,2018,14.98,1782.4,28.9,13.2,36106.4
chickpea,belg,Tigray,2018,8.84,1464.3,25.2,164.9,13414.2
coffee,belg,Sidama,2024,12.08,1087.8,31.9,157.4,13449.7
teff,meher,Sidama,2023,8.21,1402.8,23.9,103.2,15916.8
teff,meher,SNNPR,2022,8.26,756.8,30.7,92.3,10812.0
teff,meher,Tigray,2022,2.26,1051.0,14.5,117.1,4352.3
wheat,belg,Tigray,2020,9.29,568.3,24.8,142.5,25449.9
barley,belg,Afar,2017,14.51,485.3,12.9,89.9,29691.1
coffee,meher,Sidama,2021,14.67,1762.8,25.3,32.0,18736.1
wheat,belg,Sidama,2017,3.66,516.9,29.2,10.3,7945.7
barley,belg,Afar,2022,6.13,571.0,32.5,192.1,15268.6
teff,belg,Tigray,2022,11.1,308.6,32.1,47.6,14201.8
chickpea,belg,Tigray,2022,2.05,1200.2,16.1,109.5,2647.6
sorghum,meher,Amhara,2017,1.57,823.5,13.6,6.5,2571.3
barley,belg,Oromia,2015,2.62,1790.6,14.0,56.9,5229.8
wheat,belg,Afar,2024,7.52,353.8,29.2,64.6,13548.9
sesame,meher,Tigray,2023,1.77,1006.2,13.1,171.9,1817.7
sorghum,meher,Sidama,2015,2.63,1394.6,25.7,197.4,7753.9
chickpea,belg,Tigray,2024,17.03,689.5,24.4,124.6,26151.0
chickpea,belg,Tigray,2017,17.73,649.1,17.3,38.7,17112.7
maize,meher,Tigray,2016,14.88,611.0,25.4,82.9,55172.7
sorghum,meher,Afar,2018,13.96,681.6,11.7,60.1,28294.9
coffee,meher,Oromia,2020,7.16,1386.6,25.4,5.8,8252.7
coffee,belg,Tigray,2015,13.09,1022.2,25.7,178.4,19469.4
coffee,belg,Tigray,2015,16.78,749.0,28.1,63.1,14362.4
coffee,belg,Oromia,2017,5.97,346.8,34.6,125.3,4909.4
wheat,belg,Amhara,2024,2.78,1473.5,17.7,171.6,8235.4
maize,belg,Amhara,2020,9.31,1726.1,15.4,60.5,30283.0
maize,belg,Oromia,2018,18.31,965.7,10.6,96.5,55382.8
chickpea,belg,SNNPR,2017,15.5,447.4,34.6,103.2,15932.8
wheat,meher,Afar,2015,9.46,1370.5,23.1,0.8,29454.6
maize,belg,Tigray,2015,2.51,1449.3,28.6,4.5,7706.2
barley,meher,SNNPR,2018,4.25,715.0,18.0,88.2,8669.9
barley,meher,Oromia,2024,11.41,453.6,23.6,109.9,22998.5
barley,meher,Afar,2019,11.69,556.9,17.8,178.4,23397.0
teff,belg,Afar,2015,2.57,380.7,20.7,35.8,3556.8
chickpea,belg,SNNPR,2020,16.44,1369.3,26.8,106.7,29521.8
chickpea,meher,Oromia,2022,2.4,765.6,26.1,153.3,3269.7
chickpea,meher,Amhara,2017,17.29,1225.4,32.8,78.4,21235.1
coffee,belg,Tigray,2015,1.77,469.3,22.0,169.2,1771.7
barley,belg,Sidama,2024,2.98,454.4,30.4,159.4,5229.5
barley,belg,Tigray,2024,8.56,1231.3,23.7,194.8,23808.6
sesame,meher,SNNPR,2018,16.37,1186.5,29.6,87.1,16189.1
sorghum,meher,Afar,2016,14.92,1367.9,30.9,22.9,26631.8
chickpea,belg,Sidama,2016,16.53,564.3,33.9,13.9,18128.3
sesame,belg,Tigray,2015,2.27,1525.6,32.2,180.7,3202.0
teff,meher,Afar,2017,9.33,737.3,25.4,89.4,16553.2
barley,belg,Tigray,2020,19.81,1174.1,25.3,102.1,53234.8
wheat,belg,Oromia,2020,18.07,1751.8,10.0,112.0,55162.5
barley,meher,Amhara,2021,14.19,891.4,18.0,76.6,27680.3
sesame,belg,Sidama,2018,13.42,1012.3,14.7,76.9,14043.6
wheat,belg,Afar,2017,3.12,407.6,10.4,144.3,6598.6
chickpea,belg,Amhara,2016,3.18,1508.9,31.5,178.7,4959.8
wheat,belg,Sidama,2021,11.26,975.1,18.9,37.2,19525.4
teff,belg,Afar,2018,14.39,703.9,33.2,115.3,23642.0
chickpea,belg,Oromia,2024,9.89,1335.7,13.6,146.3,15464.0
barley,belg,Sidama,2016,10.71,1215.1,16.1,126.1,21267.4
barley,meher,SNNPR,2023,15.68,1003.3,22.8,93.8,27596.8
coffee,belg,SNNPR,2019,6.14,353.0,33.1,149.9,5552.9
teff,belg,Sidama,2017,11.67,1284.5,17.3,147.5,19900.7
teff,belg,Tigray,2016,2.97,415.3,29.6,50.4,3633.2
barley,meher,Afar,2016,12.27,1665.2,28.5,131.8,27411.2
coffee,meher,SNNPR,2018,9.96,1499.1,31.6,68.6,12672.5
wheat,belg,Tigray,2021,5.14,960.3,25.9,42.2,13431.2
coffee,meher,Afar,2019,15.23,474.0,14.2,79.7,11893.8
sorghum,belg,Afar,2021,9.75,517.7,31.8,2.4,21617.7
chickpea,belg,Afar,2020,19.25,1324.3,11.0,183.5,25704.6
sesame,belg,SNNPR,2019,5.71,447.4,26.4,78.2,2791.3
sorghum,meher,Sidama,2020,13.72,1789.8,17.8,2.1,33621.6
sesame,meher,Sidama,2016,13.87,827.3,28.1,50.4,10368.1
teff,meher,Sidama,2016,1.61,1191.2,32.3,43.4,2443.1
maize,meher,Sidama,2017,7.83,1445.8,26.2,160.6,28609.2
wheat,meher,Afar,2017,5.44,1000.4,33.4,127.8,15693.0
sesame,belg,SNNPR,2017,15.72,715.9,11.6,77.7,10456.7
teff,belg,SNNPR,2017,9.09,1037.6,33.2,122.1,16781.1
wheat,belg,Amhara,2024,13.05,1668.9,27.9,20.7,40300.8
maize,meher,Sidama,2019,15.66,328.1,22.4,130.6,54262.7
sesame,belg,Amhara,2020,18.14,1162.0,22.9,188.0,23608.5
chickpea,belg,Tigray,2021,16.96,1471.4,29.6,108.0,32803.3
chickpea,meher,Sidama,2023,18.73,838.4,27.0,80.1,23396.1
maize,belg,Sidama,2020,2.07,989.5,29.2,129.6,7353.3
sesame,meher,SNNPR,2021,17.98,1245.9,19.0,17.0,16226.9
chickpea,meher,Amhara,2015,4.27,1379.6,24.8,97.8,7362.4
barley,belg,Sidama,2022,19.35,324.6,18.5,67.5,35912.0
teff,belg,Oromia,2018,16.24,1301.0,21.5,135.6,34458.6
sorghum,meher,Oromia,2017,10.03,328.6,32.7,123.7,18446.6
sorghum,meher,Oromia,2017,12.84,1657.0,30.5,19.5,23468.9
maize,meher,Oromia,2022,12.1,1223.4,11.6,40.5,33009.5
coffee,belg,SNNPR,2016,19.53,1164.0,13.4,167.3,27268.6
wheat,belg,Oromia,2016,5.84,1436.3,14.2,74.0,12455.8
wheat,belg,Amhara,2024,1.29,450.0,31.2,122.5,3146.7
chickpea,meher,Oromia,2015,4.0,433.7,26.3,177.4,5214.5
sesame,belg,Afar,2017,4.52,1259.7,23.1,82.4,5454.8
teff,meher,Afar,2022,12.43,432.0,30.7,60.2,15607.2
sesame,meher,Sidama,2018,4.24,1779.9,34.4,123.8,6005.5
sorghum,belg,Afar,2018,5.89,590.6,29.9,137.0,8658.6
chickpea,belg,Amhara,2017,13.57,364.7,26.1,57.0,11811.3
chickpea,meher,Oromia,2015,18.53,563.8,29.6,97.0,22114.0
maize,meher,Amhara,2022,12.06,789.0,15.0,135.4,36750.1
coffee,meher,Oromia,2018,14.89,1604.8,19.4,44.1,22360.4
chickpea,belg,Oromia,2021,3.33,1691.8,21.4,77.5,6039.9
coffee,belg,Amhara,2020,2.98,1338.3,11.5,27.3,3542.8
chickpea,belg,Tigray,2017,15.33,629.8,17.4,31.4,17692.2
wheat,meher,Oromia,2021,17.21,1033.8,34.9,118.3,29961.1
chickpea,belg,Oromia,2021,14.86,670.0,18.2,115.9,21584.7
wheat,meher,Tigray,2015,1.28,1006.0,29.2,6.7,2673.0
sesame,belg,Afar,2016,9.32,660.8,24.0,2.5,5510.2
wheat,belg,SNNPR,2018,13.13,436.1,22.0,61.0,20111.3
chickpea,meher,Tigray,2022,15.55,1611.3,20.1,158.0,25882.5
teff,meher,Tigray,2020,10.85,744.9,28.8,139.6,20699.2
sorghum,meher,Sidama,2020,14.85,382.2,33.6,134.9,31289.8
coffee,belg,Sidama,2015,7.63,562.9,24.0,13.4,5846.8
sorghum,meher,SNNPR,2018,11.02,1273.6,28.4,150.5,30768.2
sorghum,belg,SNNPR,2019,10.32,934.4,11.4,74.6,17986.2
chickpea,belg,Sidama,2023,16.68,1005.2,23.3,165.1,28712.4
coffee,meher,Amhara,2022,2.2,886.0,14.5,191.7,2670.2
maize,meher,Amhara,2019,2.68,521.9,13.8,40.9,8485.5
sesame,meher,Tigray,2020,8.69,1406.6,10.5,37.8,7455.8
teff,meher,Sidama,2020,8.53,814.2,26.2,65.3,11229.0
chickpea,belg,SNNPR,2024,3.07,1484.0,14.3,52.0,3828.3
chickpea,belg,SNNPR,2015,3.39,726.6,33.9,123.7,4440.9
wheat,meher,Afar,2017,3.64,475.4,34.8,114.9,9984.2
chickpea,belg,SNNPR,2017,4.5,1360.7,26.6,195.6,8333.8
wheat,belg,Oromia,2015,8.39,1049.1,13.6,91.6,24476.5
coffee,meher,Oromia,2023,19.52,796.9,27.6,94.8,18963.5
wheat,belg,SNNPR,2016,14.77,1650.3,13.5,110.2,55026.9
barley,meher,Tigray,2024,16.9,969.0,12.3,11.0,25757.5
sorghum,belg,Amhara,2015,2.13,1574.2,26.9,191.5,5126.8
sesame,meher,Tigray,2020,12.26,1067.3,11.4,133.4,10398.5
sesame,belg,Tigray,2020,0.74,817.4,17.7,89.1,714.2
maize,meher,Afar,2022,14.96,923.4,21.1,32.8,47522.3
sesame,meher,Sidama,2024,2.18,611.7,21.9,173.5,1820.0
coffee,meher,Sidama,2021,2.22,914.2,32.9,82.9,1753.5
wheat,meher,Amhara,2021,6.14,1035.9,30.6,60.4,14255.2
barley,belg,Sidama,2022,4.88,1486.8,13.9,60.0,9073.8
maize,belg,Tigray,2017,10.09,1331.8,16.1,23.9,28819.5
barley,belg,Oromia,2024,15.04,1171.6,24.1,173.7,32162.2
maize,belg,Sidama,2024,0.84,689.3,24.5,29.2,2350.4
chickpea,meher,SNNPR,2017,1.53,841.7,25.9,191.0,2549.5
maize,meher,Afar,2017,15.41,1198.1,14.2,64.5,54298.8
coffee,belg,SNNPR,2020,2.37,1170.1,30.6,2.6,1886.4
chickpea,belg,SNNPR,2017,2.5,531.8,15.5,37.7,2428.3
maize,belg,Tigray,2016,2.77,496.8,10.4,69.6,8264.7
chickpea,belg,Amhara,2019,1.06,1521.9,15.6,171.4,1735.3
wheat,meher,SNNPR,2017,4.59,1771.7,20.6,152.6,14700.6
chickpea,belg,Oromia,2018,2.6,1489.6,22.8,11.9,3677.3
maize,belg,Oromia,2016,6.38,315.4,12.4,24.8,15385.7
sorghum,meher,Afar,2020,1.07,518.3,28.7,55.5,1805.4
coffee,belg,Amhara,2023,15.73,1219.4,22.6,13.7,18719.4
sorghum,meher,SNNPR,2017,18.08,1105.7,34.3,19.7,27584.5
sorghum,belg,SNNPR,2024,4.11,1310.3,12.7,166.9,11486.9
sorghum,belg,Oromia,2020,2.91,465.5,13.4,152.5,6057.2
barley,meher,Oromia,2020,10.13,877.2,21.4,147.2,20162.1
sorghum,belg,SNNPR,2021,4.18,404.4,31.0,95.1,5908.6
coffee,meher,Oromia,2022,13.61,894.6,23.1,135.3,18491.5
maize,meher,Oromia,2020,19.52,807.9,24.9,198.1,77738.3
maize,meher,Tigray,2022,5.93,1370.2,24.5,54.6,21920.1
sesame,belg,Tigray,2024,19.03,1781.3,22.8,29.5,19182.5
chickpea,meher,Oromia,2019,10.04,646.2,33.6,5.9,8588.5
chickpea,meher,Amhara,2021,12.29,790.4,17.6,124.6,12680.8
maize,belg,Tigray,2018,6.22,1046.8,22.6,108.5,23508.6
teff,meher,Tigray,2016,7.98,771.8,19.4,91.9,11317.5
teff,meher,Sidama,2019,17.75,546.2,20.8,62.5,22072.6
chickpea,belg,Tigray,2023,17.16,1060.0,19.8,98.9,27425.6
sesame,belg,SNNPR,2020,1.7,1185.7,13.2,73.3,1625.8
coffee,belg,Oromia,2021,7.23,836.0,18.8,132.2,7450.4
sorghum,meher,Afar,2019,12.05,1665.6,11.6,61.0,27852.7
coffee,meher,Tigray,2021,11.58,1652.1,16.7,139.2,17744.0
teff,belg,Tigray,2024,8.11,1158.8,30.2,20.0,11988.3
coffee,meher,Sidama,2019,7.59,954.0,22.4,169.5,9642.8
maize,meher,SNNPR,2019,1.43,1794.3,20.1,45.2,5252.1
maize,belg,SNNPR,2016,11.55,1096.6,20.7,69.5,37679.2
maize,belg,Sidama,2019,8.94,1109.9,15.0,80.5,27241.7
wheat,meher,Afar,2023,17.32,1165.3,15.3,192.4,45845.4
chickpea,belg,Afar,2023,16.27,1579.2,32.7,186.9,27820.7
sorghum,belg,Tigray,2017,5.19,1419.7,29.1,168.8,12762.7
sesame,belg,Oromia,2018,17.0,700.4,17.2,32.1,10856.7
sorghum,meher,Amhara,2018,1.04,1495.6,17.8,97.1,2345.1
sesame,belg,Afar,2015,4.44,709.1,10.7,157.9,3844.3
teff,belg,Oromia,2015,17.26,425.9,25.0,173.4,34850.6
sesame,belg,Afar,2016,8.24,1559.7,31.1,47.2,7200.1
maize,belg,Tigray,2016,5.14,483.4,30.2,65.9,14758.3
sesame,meher,Tigray,2018,3.31,562.7,34.2,87.9,2111.9
chickpea,belg,Afar,2016,6.67,935.7,27.1,192.7,11870.1
wheat,belg,Tigray,2020,16.52,331.6,34.2,121.2,43298.5
teff,meher,SNNPR,2023,8.0,1258.4,27.5,180.6,14193.0
maize,meher,Tigray,2021,0.65,1741.1,33.2,183.6,2283.7
sorghum,belg,Amhara,2017,18.36,1247.0,32.0,153.3,56556.7
sesame,meher,SNNPR,2016,16.55,1710.7,21.8,82.6,22479.1
maize,meher,Afar,2019,10.37,827.8,25.1,162.7,30384.9
coffee,belg,Afar,2015,15.36,1262.1,14.6,88.7,18261.4
sorghum,belg,SNNPR,2024,2.1,536.7,22.9,193.9,4930.1
wheat,belg,SNNPR,2022,9.83,1402.8,16.5,137.5,31473.2
sorghum,meher,Tigray,2020,4.05,1614.6,33.6,176.9,8576.3
sorghum,meher,Oromia,2023,13.12,1239.9,32.7,194.8,34786.2
wheat,meher,Tigray,2024,8.86,690.2,12.2,73.6,25901.2
maize,meher,Afar,2023,8.99,1680.0,21.3,134.7,39883.1
